employee_id,location,attrition_flag,attrition_risk_score,sentiment_score,sentiment_band,engagement_score,manager_effectiveness
EMP0419,Remote,At-Risk,79,0.42,Negative,2.1,2.1
EMP0420,Austin,Stayed,29,0.82,Positive,3.9,3.9
EMP0421,London,Stayed,54,0.63,Neutral,2.9,2.8
EMP0422,Austin,Stayed,49,0.59,Neutral,3.0,3.2
EMP0423,London,Left,100,0.16,Negative,1.2,1.0
EMP0424,London,At-Risk,72,0.39,Negative,2.2,2.1
EMP0425,San Francisco,Stayed,58,0.56,Neutral,2.9,3.1
EMP0426,London,Stayed,39,0.54,Neutral,3.0,3.8
EMP0427,New York,Stayed,27,0.82,Positive,3.8,3.4
EMP0428,Remote,Stayed,42,0.56,Neutral,3.1,3.3
EMP0429,Remote,Stayed,53,0.56,Neutral,2.7,2.9
EMP0430,Austin,Stayed,16,0.91,Positive,5.0,4.2
EMP0431,London,At-Risk,67,0.51,Neutral,2.4,2.5
EMP0432,New York,Stayed,16,0.81,Positive,4.1,4.4
EMP0433,Austin,At-Risk,66,0.56,Neutral,2.4,2.7
EMP0434,San Francisco,Stayed,38,0.63,Neutral,3.5,3.4
EMP0435,Austin,At-Risk,79,0.39,Negative,2.1,2.2
EMP0436,Austin,Stayed,34,0.68,Neutral,3.5,3.6
EMP0437,London,Stayed,26,0.77,Positive,3.9,3.2
EMP0438,San Francisco,Stayed,44,0.61,Neutral,3.2,3.2
EMP0439,Austin,At-Risk,71,0.41,Negative,2.1,2.0
EMP0440,New York,At-Risk,68,0.4,Negative,2.1,1.8
EMP0441,New York,Stayed,38,0.53,Neutral,3.2,4.2
EMP0442,Remote,Stayed,65,0.55,Neutral,2.5,3.0
EMP0443,San Francisco,At-Risk,72,0.56,Neutral,2.1,1.6
EMP0444,San Francisco,Stayed,21,0.87,Positive,4.3,4.4
EMP0445,Remote,Stayed,31,0.62,Neutral,3.4,4.0
EMP0446,Austin,Stayed,59,0.52,Neutral,2.9,2.3
EMP0447,San Francisco,Stayed,6,0.97,Positive,4.7,4.7
EMP0448,New York,Stayed,65,0.49,Neutral,2.3,2.4
EMP0449,New York,Stayed,10,0.96,Positive,4.9,4.4
EMP0450,London,At-Risk,69,0.43,Negative,1.9,2.1
EMP0451,San Francisco,Stayed,11,0.83,Positive,4.7,5.0
EMP0452,Austin,Stayed,26,0.8,Positive,3.8,4.4
EMP0453,Remote,Stayed,18,0.91,Positive,4.5,4.4
EMP0454,Remote,Stayed,0,0.94,Positive,5.0,5.0
EMP0455,Austin,Stayed,56,0.5,Neutral,2.9,2.0
EMP0456,London,Stayed,32,0.78,Positive,3.9,4.0
EMP0457,Remote,Stayed,45,0.7,Neutral,3.2,2.6
EMP0458,San Francisco,Stayed,46,0.62,Neutral,3.2,3.2
EMP0459,London,At-Risk,81,0.36,Negative,2.0,1.8
EMP0460,San Francisco,Stayed,31,0.73,Neutral,3.6,3.8
EMP0461,New York,At-Risk,69,0.58,Neutral,2.5,2.4
EMP0462,London,Stayed,60,0.55,Neutral,2.7,2.3
EMP0463,Remote,Stayed,31,0.75,Positive,3.6,3.3
EMP0464,London,Stayed,36,0.72,Neutral,3.3,4.1
EMP0465,London,Stayed,36,0.72,Neutral,3.5,3.7
EMP0466,London,Left,87,0.43,Negative,2.3,1.6
EMP0467,London,At-Risk,70,0.29,Negative,1.9,2.1
EMP0468,San Francisco,Stayed,55,0.51,Neutral,2.8,2.7
EMP0469,New York,Stayed,56,0.46,Neutral,2.6,2.6
EMP0470,Austin,At-Risk,66,0.47,Neutral,2.2,2.5
EMP0471,London,At-Risk,68,0.45,Negative,2.0,2.5
EMP0472,Remote,Stayed,53,0.57,Neutral,2.8,2.5
EMP0473,London,Stayed,29,0.72,Neutral,3.9,3.9
EMP0474,Remote,Stayed,34,0.82,Positive,3.7,3.5
EMP0475,San Francisco,Stayed,53,0.59,Neutral,3.0,3.3
EMP0476,Remote,Stayed,29,0.78,Positive,3.7,3.6
EMP0477,Austin,At-Risk,73,0.49,Neutral,2.4,2.4
EMP0478,New York,Stayed,44,0.68,Neutral,3.3,3.2
EMP0479,Remote,Stayed,34,0.8,Positive,3.9,3.8
EMP0480,Remote,Stayed,32,0.66,Neutral,3.5,4.1
EMP0481,New York,Stayed,31,0.71,Neutral,3.2,4.2
EMP0482,Austin,Stayed,0,0.92,Positive,5.0,5.0
EMP0483,London,Stayed,27,0.68,Neutral,3.6,3.6
EMP0484,Remote,Stayed,34,0.84,Positive,3.9,3.2
EMP0485,New York,Stayed,36,0.77,Positive,3.7,3.4
EMP0486,San Francisco,Stayed,29,0.9,Positive,3.9,3.8
EMP0487,New York,At-Risk,69,0.52,Neutral,2.6,2.3
EMP0488,San Francisco,Stayed,47,0.72,Neutral,3.2,2.9
EMP0489,Austin,Stayed,56,0.33,Negative,2.1,2.7
EMP0490,London,At-Risk,81,0.41,Negative,2.4,2.4
EMP0491,New York,Stayed,30,0.77,Positive,3.6,3.7
EMP0492,Remote,Stayed,65,0.45,Negative,2.7,2.4
EMP0493,Austin,Stayed,0,0.97,Positive,4.9,5.0
EMP0494,New York,Stayed,8,1.0,Positive,4.7,4.6
EMP0495,Remote,Stayed,18,0.86,Positive,4.2,4.0
EMP0496,New York,Stayed,27,0.72,Neutral,3.6,3.0
EMP0497,San Francisco,Stayed,8,0.9,Positive,4.6,4.6
EMP0498,New York,At-Risk,67,0.49,Neutral,2.4,2.2
EMP0499,New York,Stayed,8,0.9,Positive,4.4,5.0
EMP0500,New York,Stayed,59,0.44,Negative,2.4,3.1
EMP0501,Austin,Stayed,19,0.9,Positive,4.4,3.9
EMP0502,New York,Stayed,59,0.62,Neutral,2.8,2.4
EMP0503,Remote,Stayed,11,0.92,Positive,4.6,4.5
EMP0504,San Francisco,Stayed,7,0.97,Positive,4.8,4.5
EMP0505,San Francisco,Stayed,62,0.51,Neutral,2.4,2.5
EMP0506,New York,Stayed,37,0.71,Neutral,3.4,3.3
EMP0507,Austin,Stayed,3,1.0,Positive,4.9,5.0
EMP0508,Austin,Stayed,33,0.64,Neutral,3.5,3.9
EMP0509,Remote,Stayed,12,0.89,Positive,4.6,4.2
EMP0510,New York,Stayed,29,0.73,Neutral,3.8,4.2
EMP0511,San Francisco,Stayed,50,0.58,Neutral,3.1,2.8
EMP0512,Austin,Stayed,41,0.48,Neutral,2.9,3.7
EMP0513,New York,Stayed,59,0.36,Negative,2.6,3.3
EMP0514,Austin,Stayed,12,0.92,Positive,4.3,4.2
EMP0515,Austin,Stayed,44,0.55,Neutral,3.2,2.8
EMP0516,San Francisco,Stayed,44,0.79,Positive,3.5,3.1
EMP0517,London,At-Risk,68,0.53,Neutral,2.5,2.8
EMP0518,Remote,Stayed,28,0.73,Neutral,3.7,3.7
EMP0519,Remote,Stayed,8,0.95,Positive,4.6,5.0
EMP0520,San Francisco,Stayed,0,1.0,Positive,4.9,5.0
EMP0521,Austin,Stayed,42,0.59,Neutral,3.2,2.9
EMP0522,New York,Stayed,23,0.9,Positive,4.5,4.0
EMP0523,Austin,Stayed,18,0.81,Positive,4.3,4.4
EMP0524,San Francisco,Stayed,33,0.78,Positive,3.7,4.2
EMP0525,Remote,Stayed,12,0.94,Positive,4.9,4.5
EMP0526,Austin,Stayed,49,0.52,Neutral,2.6,2.6
EMP0527,Remote,Stayed,55,0.46,Neutral,2.3,2.9
EMP0528,New York,Stayed,18,0.92,Positive,4.6,3.9
EMP0529,Remote,Stayed,32,0.75,Neutral,3.3,3.4
EMP0530,Remote,Stayed,8,0.9,Positive,4.5,4.3
EMP0531,London,Stayed,39,0.8,Positive,3.7,3.7
EMP0532,London,Left,89,0.26,Negative,1.2,1.5
EMP0533,London,Stayed,36,0.8,Positive,3.7,3.7
EMP0534,Remote,Stayed,45,0.65,Neutral,3.3,2.9
EMP0535,San Francisco,Stayed,35,0.74,Neutral,3.5,3.3
EMP0536,Remote,Stayed,13,0.77,Positive,3.9,4.5
EMP0537,San Francisco,Stayed,5,0.81,Positive,4.8,4.9
EMP0538,San Francisco,At-Risk,77,0.36,Negative,2.1,2.4
EMP0539,London,Stayed,59,0.52,Neutral,2.4,2.5
EMP0540,Austin,Stayed,20,0.84,Positive,4.1,4.4
EMP0541,New York,Stayed,14,0.77,Positive,4.2,4.0
EMP0542,London,Stayed,47,0.63,Neutral,3.1,2.8
EMP0543,London,Left,88,0.31,Negative,1.4,1.7
EMP0544,Austin,Stayed,51,0.58,Neutral,2.9,3.3
EMP0545,New York,Stayed,54,0.65,Neutral,3.1,2.7
EMP0546,Remote,Stayed,6,0.91,Positive,4.4,4.2
EMP0547,Remote,Stayed,52,0.57,Neutral,2.8,2.8
EMP0548,London,At-Risk,72,0.3,Negative,1.6,2.3
EMP0549,New York,Stayed,0,1.0,Positive,4.9,5.0
EMP0550,London,Left,99,0.23,Negative,1.0,1.0
EMP0551,San Francisco,Stayed,5,0.93,Positive,5.0,5.0
EMP0552,London,Stayed,51,0.62,Neutral,3.0,2.9
EMP0553,London,Stayed,49,0.64,Neutral,3.5,3.0
EMP0554,Remote,Stayed,49,0.53,Neutral,2.9,2.8
EMP0555,Remote,At-Risk,68,0.38,Negative,2.0,1.9
EMP0556,Remote,Stayed,28,0.84,Positive,4.2,4.1
EMP0557,San Francisco,Stayed,16,0.92,Positive,4.5,4.3
EMP0558,Remote,Stayed,9,0.82,Positive,4.2,4.8
EMP0559,New York,At-Risk,67,0.47,Neutral,2.4,2.3
EMP0560,Austin,Stayed,22,0.83,Positive,4.3,4.3
EMP0561,New York,Stayed,18,0.91,Positive,4.3,4.3
EMP0562,New York,Stayed,23,0.65,Neutral,4.0,3.8
EMP0563,Remote,Stayed,15,0.84,Positive,4.3,4.3
EMP0564,Austin,Stayed,12,0.98,Positive,4.5,4.6
EMP0565,Austin,Stayed,29,0.79,Positive,3.8,3.9
EMP0566,Austin,At-Risk,77,0.52,Neutral,2.3,1.9
EMP0567,San Francisco,Stayed,37,0.59,Neutral,3.5,3.4
EMP0568,Remote,Stayed,61,0.38,Negative,2.2,2.5
EMP0569,Austin,Stayed,58,0.67,Neutral,3.2,3.2
EMP0570,San Francisco,Stayed,44,0.72,Neutral,3.2,3.3
EMP0571,London,Left,98,0.18,Negative,1.2,1.3
EMP0572,London,At-Risk,74,0.39,Negative,2.0,2.2
EMP0573,San Francisco,Stayed,65,0.49,Neutral,2.3,2.6
EMP0574,San Francisco,Stayed,13,0.81,Positive,4.4,4.4
EMP0575,Remote,Stayed,0,0.99,Positive,4.8,4.5
EMP0576,Remote,At-Risk,69,0.31,Negative,2.2,1.7
EMP0577,London,Stayed,25,0.8,Positive,3.9,4.3
EMP0578,Austin,Stayed,19,0.66,Neutral,3.6,3.9
EMP0579,London,At-Risk,75,0.36,Negative,1.9,2.2
EMP0580,Austin,At-Risk,69,0.48,Neutral,2.2,2.6
EMP0581,Austin,Stayed,42,0.72,Neutral,3.5,3.4
EMP0582,Remote,Stayed,20,0.88,Positive,4.4,4.1
EMP0583,New York,Stayed,30,0.87,Positive,4.1,3.7
EMP0584,New York,Left,83,0.35,Negative,2.2,1.7
EMP0585,San Francisco,At-Risk,70,0.45,Neutral,2.2,2.7
EMP0586,Remote,Stayed,47,0.6,Neutral,3.2,3.0
EMP0587,Austin,Stayed,47,0.62,Neutral,2.9,3.3
EMP0588,New York,Stayed,58,0.57,Neutral,2.7,2.6
EMP0589,Austin,Stayed,55,0.6,Neutral,2.8,2.6
EMP0590,New York,Stayed,24,0.96,Positive,4.4,4.0
EMP0591,New York,Stayed,10,1.0,Positive,4.8,4.6
EMP0592,New York,Stayed,37,0.64,Neutral,3.2,3.8
EMP0593,Remote,Stayed,17,0.94,Positive,4.7,4.3
EMP0594,London,Stayed,65,0.42,Negative,2.0,2.8
EMP0595,Austin,Stayed,37,0.69,Neutral,3.4,3.1
EMP0596,Remote,Stayed,54,0.57,Neutral,2.7,3.0
EMP0597,Remote,Stayed,23,0.67,Neutral,3.9,3.9
EMP0598,Remote,Stayed,7,1.0,Positive,4.9,4.8
EMP0599,Remote,Stayed,30,0.77,Positive,3.8,3.3
EMP0600,Remote,Stayed,47,0.53,Neutral,3.1,3.0
EMP0601,San Francisco,Stayed,35,0.74,Neutral,3.9,3.5
EMP0602,Austin,At-Risk,68,0.37,Negative,2.4,1.7
EMP0603,Remote,Stayed,9,0.88,Positive,4.7,4.7
EMP0604,Austin,Stayed,34,0.69,Neutral,3.5,3.3
EMP0605,San Francisco,Stayed,35,0.75,Neutral,3.3,4.0
EMP0606,San Francisco,Stayed,29,0.77,Positive,3.8,4.2
EMP0607,Austin,Stayed,21,0.79,Positive,3.9,4.6
EMP0608,New York,At-Risk,72,0.39,Negative,2.2,1.9
EMP0609,London,Stayed,50,0.57,Neutral,3.0,3.1
EMP0610,New York,Stayed,65,0.51,Neutral,2.7,1.7
EMP0611,New York,Stayed,27,0.79,Positive,4.1,4.0
EMP0612,New York,Stayed,19,0.88,Positive,4.5,4.5
EMP0613,Remote,Stayed,9,0.87,Positive,4.4,4.5
EMP0614,San Francisco,Stayed,42,0.71,Neutral,3.7,3.6
EMP0615,New York,Stayed,34,0.68,Neutral,3.6,3.6
EMP0616,San Francisco,Left,85,0.49,Neutral,2.4,1.3
EMP0617,Austin,Stayed,14,0.85,Positive,4.3,4.4
EMP0618,London,At-Risk,81,0.28,Negative,1.8,2.0
EMP0619,Austin,Stayed,35,0.7,Neutral,3.5,4.0
EMP0620,Austin,Stayed,50,0.56,Neutral,2.9,3.0
EMP0621,Remote,Stayed,65,0.4,Negative,2.4,2.3
EMP0622,London,Stayed,55,0.55,Neutral,2.9,3.3
EMP0623,Austin,At-Risk,78,0.46,Neutral,2.2,1.2
EMP0624,Austin,Stayed,18,0.79,Positive,4.2,4.0
EMP0625,London,At-Risk,73,0.33,Negative,2.0,1.6
EMP0626,London,Left,100,0.18,Negative,1.0,1.0
EMP0627,Austin,Stayed,43,0.74,Neutral,3.5,2.7
EMP0628,London,Left,97,0.32,Negative,1.1,1.7
EMP0629,Austin,Stayed,52,0.6,Neutral,2.8,2.7
EMP0630,Austin,Stayed,26,0.88,Positive,4.1,4.2
EMP0631,Remote,At-Risk,73,0.45,Neutral,2.2,2.3
EMP0632,New York,Stayed,6,0.87,Positive,4.5,5.0
EMP0633,Austin,At-Risk,78,0.43,Negative,2.0,1.3
EMP0634,San Francisco,Stayed,52,0.54,Neutral,2.7,2.8
EMP0635,New York,Stayed,11,0.86,Positive,4.2,4.7
EMP0636,New York,Stayed,56,0.54,Neutral,2.9,2.9
EMP0637,New York,At-Risk,71,0.48,Neutral,2.3,1.9
EMP0638,Remote,Stayed,44,0.61,Neutral,3.1,2.8
EMP0639,Austin,Stayed,55,0.57,Neutral,2.8,2.7
EMP0640,Remote,Stayed,14,0.9,Positive,4.5,4.2
EMP0641,Austin,Stayed,41,0.57,Neutral,2.9,2.9
EMP0642,Remote,Stayed,8,0.9,Positive,4.4,5.0
EMP0643,Remote,Stayed,14,0.91,Positive,4.7,4.4
EMP0644,San Francisco,Stayed,43,0.58,Neutral,3.3,3.1
EMP0645,Remote,Stayed,6,0.85,Positive,4.7,4.9
EMP0646,London,At-Risk,74,0.44,Negative,2.1,2.1
EMP0647,San Francisco,Stayed,6,0.96,Positive,4.9,4.4
EMP0648,Remote,At-Risk,72,0.37,Negative,2.3,2.2
EMP0649,New York,Stayed,31,0.82,Positive,4.1,4.0
EMP0650,London,Stayed,51,0.49,Neutral,2.5,2.9
EMP0651,London,At-Risk,73,0.41,Negative,2.2,1.8
EMP0652,London,Stayed,60,0.59,Neutral,2.9,3.3
EMP0653,San Francisco,Stayed,23,0.89,Positive,4.1,4.1
EMP0654,Remote,At-Risk,78,0.47,Neutral,2.0,1.6
EMP0655,Remote,At-Risk,66,0.51,Neutral,2.5,2.0
EMP0656,New York,Stayed,20,0.82,Positive,4.1,4.9
EMP0657,New York,Stayed,20,0.81,Positive,4.0,3.9
EMP0658,London,Stayed,28,0.8,Positive,3.9,4.3
EMP0659,New York,Stayed,23,0.84,Positive,4.3,3.6
EMP0660,San Francisco,Stayed,0,0.98,Positive,4.9,5.0
EMP0661,Remote,Stayed,17,0.74,Neutral,4.1,4.5
EMP0662,London,At-Risk,78,0.38,Negative,1.9,1.8
EMP0663,New York,Stayed,65,0.49,Neutral,2.3,2.2
EMP0664,San Francisco,Stayed,18,0.84,Positive,4.3,4.6
EMP0665,San Francisco,Stayed,20,0.78,Positive,3.9,4.2
EMP0666,New York,At-Risk,71,0.37,Negative,2.1,2.2
EMP0667,Remote,Stayed,50,0.55,Neutral,3.1,3.1
EMP0668,New York,Stayed,2,0.98,Positive,4.9,5.0
EMP0669,London,At-Risk,73,0.46,Neutral,2.5,1.8
EMP0670,New York,Stayed,41,0.57,Neutral,3.3,3.1
EMP0671,San Francisco,Stayed,50,0.62,Neutral,3.4,2.7
EMP0672,New York,Stayed,60,0.48,Neutral,2.6,2.9
EMP0673,Remote,Stayed,54,0.66,Neutral,3.1,2.8
EMP0674,Austin,Stayed,44,0.63,Neutral,3.1,2.5
EMP0675,New York,At-Risk,76,0.39,Negative,2.2,1.8
EMP0676,Remote,Stayed,21,0.83,Positive,4.3,4.4
EMP0677,Remote,Stayed,42,0.72,Neutral,3.2,3.2
EMP0678,San Francisco,Stayed,15,0.94,Positive,4.5,4.0
EMP0679,Remote,Stayed,14,0.85,Positive,4.6,3.9
EMP0680,Remote,Stayed,53,0.59,Neutral,2.6,2.7
EMP0681,Remote,Stayed,31,0.79,Positive,4.0,3.7
EMP0682,Remote,Stayed,52,0.72,Neutral,3.4,3.3
EMP0683,London,Stayed,31,0.72,Neutral,3.6,3.6
EMP0684,London,At-Risk,79,0.39,Negative,1.6,1.8
EMP0685,San Francisco,Stayed,20,0.75,Neutral,4.0,4.4
EMP0686,New York,Stayed,20,0.75,Positive,3.8,3.9
EMP0687,Remote,Stayed,50,0.64,Neutral,2.9,2.8
EMP0688,New York,Stayed,64,0.36,Negative,2.4,2.4
EMP0689,New York,Stayed,23,0.79,Positive,4.0,3.8
EMP0690,San Francisco,Stayed,32,0.82,Positive,4.2,3.6
EMP0691,Remote,Stayed,40,0.62,Neutral,2.9,3.4
EMP0692,Remote,Stayed,27,0.84,Positive,3.9,4.3
EMP0693,Austin,Stayed,44,0.67,Neutral,3.2,4.0
EMP0694,New York,Stayed,14,0.84,Positive,4.1,5.0
EMP0695,New York,Stayed,64,0.52,Neutral,2.6,2.1
EMP0696,London,Stayed,35,0.72,Neutral,3.7,3.5
EMP0697,Austin,Stayed,41,0.58,Neutral,2.9,3.9
EMP0698,London,Stayed,62,0.49,Neutral,2.1,2.1
EMP0699,London,Left,89,0.19,Negative,1.2,1.3
EMP0700,London,Left,94,0.25,Negative,1.3,1.0
EMP0701,San Francisco,Stayed,31,0.71,Neutral,3.5,3.6
EMP0702,San Francisco,Stayed,45,0.61,Neutral,2.8,3.6
EMP0703,London,Stayed,34,0.71,Neutral,3.5,4.0
EMP0704,Austin,At-Risk,77,0.46,Neutral,2.0,1.8
EMP0705,New York,Stayed,53,0.68,Neutral,3.1,3.0
EMP0706,Austin,Stayed,55,0.63,Neutral,3.0,2.6
EMP0707,Remote,At-Risk,78,0.36,Negative,2.1,1.7
EMP0708,San Francisco,At-Risk,69,0.56,Neutral,2.4,1.6
EMP0709,New York,Stayed,37,0.72,Neutral,3.2,3.2
EMP0710,New York,Stayed,29,0.7,Neutral,3.5,4.1
EMP0711,Remote,Stayed,39,0.57,Neutral,3.2,3.4
EMP0712,Remote,Stayed,28,0.64,Neutral,3.6,4.1
EMP0713,London,Stayed,45,0.57,Neutral,2.8,3.2
EMP0714,San Francisco,At-Risk,80,0.37,Negative,2.0,1.8
EMP0715,San Francisco,Stayed,39,0.59,Neutral,3.4,3.1
EMP0716,Austin,Stayed,3,0.9,Positive,4.9,4.6
EMP0717,London,At-Risk,67,0.49,Neutral,2.6,1.9
EMP0718,London,Stayed,54,0.62,Neutral,3.0,3.0
EMP0719,London,Left,94,0.46,Neutral,1.9,1.0
EMP0720,London,Stayed,48,0.69,Neutral,3.3,3.6
EMP0721,San Francisco,Stayed,10,0.84,Positive,4.3,4.3
EMP0722,San Francisco,Stayed,32,0.73,Neutral,3.6,3.8
EMP0723,London,Stayed,19,0.8,Positive,3.9,4.4
EMP0724,Austin,At-Risk,66,0.51,Neutral,2.4,2.5
EMP0725,New York,At-Risk,68,0.41,Negative,2.1,2.7
EMP0726,New York,Stayed,11,0.91,Positive,4.3,4.6
EMP0727,Austin,Stayed,14,0.93,Positive,4.4,4.1
EMP0728,London,Left,86,0.28,Negative,1.4,1.3
EMP0729,San Francisco,Stayed,50,0.55,Neutral,2.8,1.9
EMP0730,New York,At-Risk,70,0.46,Neutral,2.1,1.7
EMP0731,Remote,Stayed,58,0.54,Neutral,2.9,2.7
EMP0732,Remote,Stayed,22,0.79,Positive,4.3,4.5
EMP0733,Austin,Stayed,45,0.64,Neutral,3.6,3.3
EMP0734,London,Left,83,0.37,Negative,2.0,1.5
EMP0735,New York,Stayed,49,0.66,Neutral,3.1,2.4
EMP0736,London,Left,94,0.18,Negative,1.0,1.0
EMP0737,New York,Stayed,35,0.59,Neutral,2.9,3.7
EMP0738,Austin,Stayed,22,0.76,Positive,3.9,4.0
EMP0739,Austin,Stayed,1,0.96,Positive,4.9,5.0
EMP0740,Remote,Stayed,10,0.86,Positive,4.5,4.2
EMP0741,London,Left,100,0.21,Negative,1.1,1.0
EMP0742,Remote,Stayed,15,0.93,Positive,4.7,4.2
EMP0743,London,Stayed,39,0.69,Neutral,3.3,3.3
EMP0744,Remote,Stayed,17,0.88,Positive,4.3,3.5
EMP0745,San Francisco,Stayed,51,0.66,Neutral,3.4,3.0
EMP0746,San Francisco,Stayed,47,0.56,Neutral,3.2,3.0
EMP0747,San Francisco,At-Risk,67,0.64,Neutral,2.9,2.4
EMP0748,San Francisco,At-Risk,79,0.44,Negative,2.2,1.3
EMP0749,New York,Stayed,57,0.54,Neutral,2.7,2.8
EMP0750,San Francisco,Stayed,51,0.63,Neutral,2.7,2.8
EMP0751,Austin,Stayed,33,0.74,Neutral,3.5,3.8
EMP0752,Austin,Stayed,15,0.87,Positive,4.2,3.8
EMP0753,New York,Stayed,29,0.68,Neutral,3.4,3.7
EMP0754,San Francisco,At-Risk,68,0.43,Negative,2.2,2.8
EMP0755,San Francisco,Stayed,0,0.99,Positive,4.9,5.0
EMP0756,San Francisco,Stayed,4,0.99,Positive,4.8,4.6
EMP0757,Remote,Stayed,11,0.96,Positive,4.4,4.4
EMP0758,London,Stayed,26,0.92,Positive,4.0,3.7
EMP0759,Remote,Stayed,43,0.74,Neutral,3.6,3.3
EMP0760,London,Stayed,25,0.67,Neutral,3.9,4.2
EMP0761,San Francisco,Stayed,63,0.4,Negative,2.2,2.2
EMP0762,San Francisco,Stayed,47,0.71,Neutral,3.1,3.6
EMP0763,Remote,At-Risk,68,0.57,Neutral,2.7,2.5
EMP0764,Remote,Stayed,64,0.54,Neutral,2.6,2.5
EMP0765,London,Left,96,0.28,Negative,1.4,1.2
EMP0766,Austin,Stayed,38,0.71,Neutral,3.9,3.4
EMP0767,London,Stayed,29,0.75,Positive,3.3,3.7
EMP0768,Remote,Stayed,32,0.71,Neutral,3.7,4.6
EMP0769,Remote,At-Risk,71,0.52,Neutral,2.4,2.3
EMP0770,New York,Stayed,19,0.82,Positive,4.4,4.2
EMP0771,Remote,Stayed,29,0.77,Positive,3.9,3.6
EMP0772,New York,Stayed,41,0.68,Neutral,3.2,2.9
EMP0773,Austin,Stayed,16,0.79,Positive,4.0,4.7
EMP0774,London,Left,85,0.34,Negative,1.8,1.5
EMP0775,London,At-Risk,70,0.41,Negative,2.0,1.8
EMP0776,New York,Stayed,10,0.88,Positive,4.8,4.3
EMP0777,London,At-Risk,71,0.3,Negative,1.9,2.0
EMP0778,Remote,Stayed,38,0.72,Neutral,3.4,3.4
EMP0779,San Francisco,Stayed,6,0.91,Positive,4.7,4.2
EMP0780,New York,Stayed,18,0.86,Positive,4.1,3.8
EMP0781,London,Left,90,0.29,Negative,1.2,1.8
EMP0782,New York,Stayed,60,0.55,Neutral,2.4,2.5
EMP0783,New York,At-Risk,71,0.32,Negative,2.0,2.1
EMP0784,San Francisco,Stayed,24,0.74,Neutral,3.9,3.9
EMP0785,Remote,Stayed,49,0.7,Neutral,3.3,3.9
EMP0786,New York,At-Risk,72,0.51,Neutral,2.4,2.0
EMP0787,London,Stayed,33,0.89,Positive,3.9,3.7
EMP0788,Austin,Stayed,32,0.67,Neutral,3.6,3.5
EMP0789,New York,At-Risk,66,0.6,Neutral,2.7,2.0
EMP0790,New York,Stayed,39,0.72,Neutral,3.5,3.1
EMP0791,San Francisco,Stayed,15,0.73,Neutral,4.0,4.5
EMP0792,Remote,At-Risk,75,0.42,Negative,2.2,2.5
EMP0793,Austin,Stayed,53,0.58,Neutral,2.8,3.2
EMP0794,London,Stayed,44,0.6,Neutral,3.4,3.2
EMP0795,Austin,Stayed,37,0.57,Neutral,3.4,3.2
EMP0796,London,Stayed,59,0.44,Negative,2.6,1.9
EMP0797,Remote,Stayed,38,0.67,Neutral,3.3,3.7
EMP0798,London,Left,89,0.2,Negative,1.1,1.6
EMP0799,San Francisco,Stayed,61,0.47,Neutral,2.5,2.9
EMP0800,San Francisco,Stayed,38,0.64,Neutral,3.3,4.0
EMP0801,San Francisco,Stayed,57,0.45,Neutral,2.6,2.8
EMP0802,San Francisco,At-Risk,69,0.41,Negative,2.1,2.8
EMP0803,Austin,Stayed,13,0.82,Positive,4.5,4.5
EMP0804,Remote,Stayed,4,1.0,Positive,4.9,4.2
EMP0805,London,Stayed,36,0.76,Positive,3.4,3.7
EMP0806,London,Stayed,43,0.6,Neutral,3.6,2.8
EMP0807,San Francisco,Stayed,60,0.52,Neutral,2.7,2.8
EMP0808,San Francisco,Stayed,2,0.96,Positive,4.9,5.0
EMP0809,New York,Stayed,56,0.51,Neutral,2.6,2.7
EMP0810,Remote,Stayed,7,1.0,Positive,4.9,5.0
EMP0811,Austin,Stayed,10,0.97,Positive,5.0,4.2
EMP0812,London,Stayed,54,0.62,Neutral,3.1,3.1
EMP0813,New York,Stayed,1,1.0,Positive,4.9,5.0
EMP0814,New York,Stayed,32,0.74,Neutral,3.7,3.2
EMP0815,London,Left,91,0.44,Negative,1.8,1.3
EMP0816,Austin,Stayed,42,0.69,Neutral,3.3,3.0
EMP0817,New York,Stayed,36,0.73,Neutral,3.8,3.3
EMP0818,New York,At-Risk,70,0.41,Negative,2.2,2.2
EMP0819,Remote,Stayed,30,0.77,Positive,3.9,3.6
EMP0820,Austin,Stayed,0,0.93,Positive,4.9,5.0
EMP0821,New York,Stayed,49,0.47,Neutral,2.6,2.8
EMP0822,Austin,Stayed,8,0.85,Positive,4.4,4.6
EMP0823,London,Stayed,39,0.76,Positive,3.7,3.6
EMP0824,San Francisco,Stayed,5,1.0,Positive,4.8,4.9
EMP0825,New York,Stayed,11,0.95,Positive,4.9,5.0
EMP0826,Remote,Stayed,28,0.74,Neutral,3.6,3.7
EMP0827,London,Stayed,19,0.7,Neutral,3.9,4.7
EMP0828,Austin,Stayed,20,0.91,Positive,4.3,4.7
EMP0829,London,At-Risk,78,0.21,Negative,1.5,2.2
EMP0830,New York,Stayed,46,0.73,Neutral,3.4,2.4
EMP0831,Austin,Stayed,19,0.83,Positive,4.2,4.2
EMP0832,San Francisco,Stayed,55,0.54,Neutral,2.7,2.6
EMP0833,London,Stayed,55,0.57,Neutral,2.9,2.9
EMP0834,New York,Stayed,19,0.73,Neutral,4.0,3.7
EMP0835,Remote,At-Risk,69,0.44,Negative,2.5,2.6
EMP0836,Austin,Stayed,35,0.78,Positive,3.7,3.0
EMP0837,London,Stayed,29,0.66,Neutral,3.3,3.5
